picture_id	female	list	version	picture_sas	picture_has	rand	org order
33	0	B	2	BM33SAS.JPG	BM33HAS.JPG	0.61315618635205	1
31	0	B	2	BM31SAS.JPG	BM31HAS.JPG	0.407696113531276	2
08	0	B	2	BM08SAS.JPG	BM08HAS.JPG	0.748650996574962	3
02	0	B	2	BM02SAS.JPG	BM02HAS.JPG	0.615423734766551	4
06	0	B	2	BM06SAS.JPG	BM06HAS.JPG	0.734325628918828	5
24	0	B	2	BM24SAS.JPG	BM24HAS.JPG	0.7155028088767	6
28	0	B	2	BM28SAS.JPG	BM28HAS.JPG	0.467835037093681	7
09	0	B	2	BM09SAS.JPG	BM09HAS.JPG	0.711843192967892	8
12	0	B	2	BM12SAS.JPG	BM12HAS.JPG	0.333792213698234	9
05	0	B	2	BM05SAS.JPG	BM05HAS.JPG	0.761364677073047	10
35	0	B	2	BM35SAS.JPG	BM35HAS.JPG	0.411627907496563	11
16	0	B	2	BM16SAS.JPG	BM16HAS.JPG	0.947822553371096	12
30	0	B	2	BM30SAS.JPG	BM30HAS.JPG	0.00192558308832069	13
10	0	B	2	BM10SAS.JPG	BM10HAS.JPG	0.194090691626391	14
03	0	B	2	BM03SAS.JPG	BM03HAS.JPG	0.192836672409932	15
21	0	B	2	BM21SAS.JPG	BM21HAS.JPG	0.63710467369486	16
25	0	B	2	BM25SAS.JPG	BM25HAS.JPG	0.535049442959664	17
07	0	B	2	BM07SAS.JPG	BM07HAS.JPG	0.290439838105683	18
11	0	B	2	BM11SAS.JPG	BM11HAS.JPG	0.457389527691225	19
13	0	B	2	BM13SAS.JPG	BM13HAS.JPG	0.145415932646372	20
29	0	B	2	BM29SAS.JPG	BM29HAS.JPG	0.54463610219112	21
23	0	B	2	BM23SAS.JPG	BM23HAS.JPG	0.616926012634407	22
18	0	B	2	BM18SAS.JPG	BM18HAS.JPG	0.8483548572461	23
19	0	B	2	BM19SAS.JPG	BM19HAS.JPG	0.682791950089555	24
32	0	B	2	BM32SAS.JPG	BM32HAS.JPG	0.014757817685751	25
04	0	B	2	BM04SAS.JPG	BM04HAS.JPG	0.478430521694764	26
34	0	B	2	BM34SAS.JPG	BM34HAS.JPG	0.268287430204198	27
01	0	B	2	BM01SAS.JPG	BM01HAS.JPG	0.00711299053818004	28
17	0	B	2	BM17SAS.JPG	BM17HAS.JPG	0.31897171936318	29
14	0	B	2	BM14SAS.JPG	BM14HAS.JPG	0.768993818918047	30
26	0	B	2	BM26SAS.JPG	BM26HAS.JPG	0.162014250336784	31
