picture_id	female	list	version	picture_sas	picture_has	rand	org order
12	1	B	1	BF12SAS.JPG	BF12HAS.JPG	0.090866368651546	1
26	1	B	1	BF26SAS.JPG	BF26HAS.JPG	0.587497990887386	2
03	1	B	1	BF03SAS.JPG	BF03HAS.JPG	0.863057491504149	3
05	1	B	1	BF05SAS.JPG	BF05HAS.JPG	0.571567250284921	4
07	1	B	1	BF07SAS.JPG	BF07HAS.JPG	0.242078177705994	5
30	1	B	1	BF30SAS.JPG	BF30HAS.JPG	0.00824012931405582	6
22	1	B	1	BF22SAS.JPG	BF22HAS.JPG	0.729080316800545	7
14	1	B	1	BF14SAS.JPG	BF14HAS.JPG	0.216445339813907	8
15	1	B	1	BF15SAS.JPG	BF15HAS.JPG	0.94776989223616	9
16	1	B	1	BF16SAS.JPG	BF16HAS.JPG	0.874496138754515	10
34	1	B	1	BF34SAS.JPG	BF34HAS.JPG	0.844714217635705	11
19	1	B	1	BF19SAS.JPG	BF19HAS.JPG	0.869601465823051	12
35	1	B	1	BF35SAS.JPG	BF35HAS.JPG	0.194548572351149	13
13	1	B	1	BF13SAS.JPG	BF13HAS.JPG	0.553579912269633	14
32	1	B	1	BF32SAS.JPG	BF32HAS.JPG	0.859101437596309	15
06	1	B	1	BF06SAS.JPG	BF06HAS.JPG	0.121443893828328	16
28	1	B	1	BF28SAS.JPG	BF28HAS.JPG	0.524409614576617	17
02	1	B	1	BF02SAS.JPG	BF02HAS.JPG	0.0916827228533867	18
09	1	B	1	BF09SAS.JPG	BF09HAS.JPG	0.392081457749713	19
29	1	B	1	BF29SAS.JPG	BF29HAS.JPG	0.712526860181931	20
33	1	B	1	BF33SAS.JPG	BF33HAS.JPG	0.709594107672733	21
31	1	B	1	BF31SAS.JPG	BF31HAS.JPG	0.15794426963467	22
01	1	B	1	BF01SAS.JPG	BF01HAS.JPG	0.880967167447649	23
27	1	B	1	BF27SAS.JPG	BF27HAS.JPG	0.664326888787516	24
20	1	B	1	BF20SAS.JPG	BF20HAS.JPG	0.11925885575136	25
23	1	B	1	BF23SAS.JPG	BF23HAS.JPG	0.605321993226547	26
10	1	B	1	BF10SAS.JPG	BF10HAS.JPG	0.560159147543159	27
04	1	B	1	BF04SAS.JPG	BF04HAS.JPG	0.926418550517408	28
24	1	B	1	BF24SAS.JPG	BF24HAS.JPG	0.723559689399491	29
11	1	B	1	BF11SAS.JPG	BF11HAS.JPG	0.293668774238921	30
25	1	B	1	BF25SAS.JPG	BF25HAS.JPG	0.104326348014223	31
17	1	B	1	BF17SAS.JPG	BF17HAS.JPG	0.050154372324402	32
21	1	B	1	BF21SAS.JPG	BF21HAS.JPG	0.71731628592628	33
