condition	picture_id	picture
1	1	c61.bmp
1	2	c6.bmp
1	3	c92.bmp
1	4	c85.bmp
1	5	c8.bmp
1	6	c7.bmp
1	7	c46.bmp
1	8	c63.bmp
1	9	c50.bmp
1	10	c62.bmp
1	11	c75.bmp
1	12	c55.bmp
1	13	c10.bmp
1	14	c35.bmp
1	15	c96.bmp
1	16	c57.bmp
1	17	c18.bmp
1	18	c58.bmp
1	19	c45.bmp
1	20	c47.bmp
1	21	c67.bmp
1	22	c79.bmp
1	23	c32.bmp
1	24	c27.bmp
1	25	c25.bmp
1	26	c11.bmp
1	27	c103.bmp
1	28	c37.bmp
1	29	c78.bmp
1	30	c89.bmp
1	31	c65.bmp
1	32	c69.bmp
1	33	c68.bmp
1	34	c99.bmp
1	35	c74.bmp
1	36	c73.bmp
1	37	c1.bmp
1	38	c101.bmp
1	39	c95.bmp
1	40	c91.bmp
1	41	c39.bmp
1	42	c36.bmp
1	43	c97.bmp
1	44	c98.bmp
1	45	c86.bmp
1	46	c41.bmp
1	47	c104.bmp
1	48	c15.bmp
1	49	c38.bmp
1	50	c81.bmp
1	51	c16.bmp
1	52	c30.bmp
1	53	c82.bmp
1	54	c87.bmp
1	55	c71.bmp
1	56	c28.bmp
1	57	c48.bmp
1	58	c72.bmp
1	59	c64.bmp
1	60	c106.bmp
1	61	c40.bmp
1	62	c102.bmp
1	63	c100.bmp
1	64	c23.bmp
1	65	c26.bmp
